short_name,height_cm,,,,,,,,,,,,,,,,,,,,,,,
L. Messi,170,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,187,,,,,,,,,,,,,,,,,,,,,,,
Neymar Jr,175,,,,,,,,,,,,,,,,,,,,,,,
J. Oblak,188,,,,,,,,,,,,,,,,,,,,,,,
E. Hazard,175,,,,,,,,,,,,,,,,,,,,,,,
K. De Bruyne,181,,,,,,,,,,,,,,,,,,,,,,,
M. ter Stegen,187,,,,,,,,,,,,,,,,,,,,,,,
V. van Dijk,193,,,,,,,,,,,,,,,,,,,,,,,
L. Modrić,172,,,,,,,,,,,,,,,,,,,,,,,
M. Salah,175,,,,,,,,,,,,,,,,,,,,,,,
K. Mbappé,178,,,,,,,,,,,,,,,,,,,,,,,
K. Koulibaly,187,,,,,,,,,,,,,,,,,,,,,,,
H. Kane,188,,,,,,,,,,,,,,,,,,,,,,,
Alisson,191,,,,,,,,,,,,,,,,,,,,,,,
De Gea,192,,,,,,,,,,,,,,,,,,,,,,,
N. Kanté,168,,,,,,,,,,,,,,,,,,,,,,,
G. Chiellini,187,,,,,,,,,,,,,,,,,,,,,,,
S. Agüero,173,,,,,,,,,,,,,,,,,,,,,,,
Sergio Ramos,184,,,,,,,,,,,,,,,,,,,,,,,
L. Suárez,182,,,,,,,,,,,,,,,,,,,,,,,
R. Lewandowski,184,,,,,,,,,,,,,,,,,,,,,,,
Sergio Busquets,189,,,,,,,,,,,,,,,,,,,,,,,
A. Griezmann,176,,,,,,,,,,,,,,,,,,,,,,,
P. Dybala,177,,,,,,,,,,,,,,,,,,,,,,,
P. Pogba,191,,,,,,,,,,,,,,,,,,,,,,,
Ederson,188,,,,,,,,,,,,,,,,,,,,,,,
R. Sterling,170,,,,,,,,,,,,,,,,,,,,,,,
C. Eriksen,181,,,,,,,,,,,,,,,,,,,,,,,
T. Courtois,199,,,,,,,,,,,,,,,,,,,,,,,
Piqué,194,,,,,,,,,,,,,,,,,,,,,,,
S. Handanovič,193,,,,,,,,,,,,,,,,,,,,,,,
M. Neuer,193,,,,,,,,,,,,,,,,,,,,,,,
H. Lloris,188,,,,,,,,,,,,,,,,,,,,,,,
David Silva,173,,,,,,,,,,,,,,,,,,,,,,,
E. Cavani,185,,,,,,,,,,,,,,,,,,,,,,,
D. Godín,187,,,,,,,,,,,,,,,,,,,,,,,
T. Kroos,183,,,,,,,,,,,,,,,,,,,,,,,
M. Reus,180,,,,,,,,,,,,,,,,,,,,,,,
P. Aubameyang,187,,,,,,,,,,,,,,,,,,,,,,,
S. Mané,175,,,,,,,,,,,,,,,,,,,,,,,
A. Laporte,189,,,,,,,,,,,,,,,,,,,,,,,
Bernardo Silva,173,,,,,,,,,,,,,,,,,,,,,,,
Casemiro,185,,,,,,,,,,,,,,,,,,,,,,,
H. Son,183,,,,,,,,,,,,,,,,,,,,,,,
Fernandinho,179,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,183,,,,,,,,,,,,,,,,,,,,,,,
K. Benzema,185,,,,,,,,,,,,,,,,,,,,,,,
J. Vertonghen,189,,,,,,,,,,,,,,,,,,,,,,,
D. Mertens,169,,,,,,,,,,,,,,,,,,,,,,,
M. Hummels,191,,,,,,,,,,,,,,,,,,,,,,,
T. Alderweireld,186,,,,,,,,,,,,,,,,,,,,,,,
Jordi Alba,170,,,,,,,,,,,,,,,,,,,,,,,
Thiago,174,,,,,,,,,,,,,,,,,,,,,,,
K. Navas,185,,,,,,,,,,,,,,,,,,,,,,,
L. Insigne,163,,,,,,,,,,,,,,,,,,,,,,,
L. Sané,183,,,,,,,,,,,,,,,,,,,,,,,
Marquinhos,183,,,,,,,,,,,,,,,,,,,,,,,
M. Škriniar,187,,,,,,,,,,,,,,,,,,,,,,,
